[2021-07-01 14:02:54,963][test01_admin_login.py 21][INFO]: *************** 总后台-登录开始执行用例 ***************
[2021-07-01 14:02:55,165][test01_admin_login.py 32][INFO]: *************** 总后台-登录结束执行用例 ***************
[2021-07-01 14:03:07,960][test02_add_kecheng.py 21][INFO]: *************** 新增课件开始执行用例 ***************
[2021-07-01 14:03:08,092][test02_add_kecheng.py 32][INFO]: *************** 新增课件结束执行用例 ***************
[2021-07-01 14:03:08,358][test02_add_kecheng.py 38][INFO]: *************** 开始执行用例 ***************
[2021-07-01 14:03:08,616][test02_add_kecheng.py 53][INFO]: *************** 下架课程结束执行用例 ***************
[2021-07-01 14:03:44,774][test_add_kecheng.py 21][INFO]: *************** 新增课件开始执行用例 ***************
[2021-07-01 14:03:44,900][test_add_kecheng.py 32][INFO]: *************** 新增课件结束执行用例 ***************
[2021-07-01 14:03:45,059][test_add_kecheng.py 38][INFO]: *************** 开始执行用例 ***************
[2021-07-01 14:03:45,226][test_add_kecheng.py 53][INFO]: *************** 下架课程结束执行用例 ***************
[2021-07-01 14:03:45,468][test_admin_login.py 21][INFO]: *************** 总后台-登录开始执行用例 ***************
[2021-07-01 14:03:45,618][test_admin_login.py 32][INFO]: *************** 总后台-登录结束执行用例 ***************
[2021-07-01 14:04:50,016][test_login.py 39][INFO]: *************** 总后台-登录结束执行用例 ***************
[2021-07-01 14:04:50,114][test_login.py 39][INFO]: *************** 总后台-登录结束执行用例 ***************
[2021-07-01 14:04:50,210][test_login.py 39][INFO]: *************** 总后台-登录结束执行用例 ***************
[2021-07-01 14:04:50,297][test_login.py 39][INFO]: *************** 总后台-登录结束执行用例 ***************
[2021-07-01 14:04:50,377][test_login.py 39][INFO]: *************** 总后台-登录结束执行用例 ***************
[2021-07-01 14:04:50,452][test_login.py 39][INFO]: *************** 总后台-登录结束执行用例 ***************
[2021-07-01 14:04:50,543][test_login.py 39][INFO]: *************** 总后台-登录结束执行用例 ***************
[2021-07-01 14:04:50,631][test_login.py 39][INFO]: *************** 总后台-登录结束执行用例 ***************
[2021-07-01 14:04:50,711][test_login.py 39][INFO]: *************** 总后台-登录结束执行用例 ***************
[2021-07-01 14:04:50,807][test_login.py 39][INFO]: *************** 总后台-登录结束执行用例 ***************
[2021-07-01 14:04:50,890][test_login.py 39][INFO]: *************** 总后台-登录结束执行用例 ***************
[2021-07-01 14:04:51,095][test_add_kecheng.py 21][INFO]: *************** 新增课件开始执行用例 ***************
[2021-07-01 14:04:51,168][test_add_kecheng.py 32][INFO]: *************** 新增课件结束执行用例 ***************
[2021-07-01 14:04:51,287][test_add_kecheng.py 38][INFO]: *************** 开始执行用例 ***************
[2021-07-01 14:04:51,505][test_add_kecheng.py 53][INFO]: *************** 下架课程结束执行用例 ***************
[2021-07-01 14:04:51,679][test_admin_login.py 21][INFO]: *************** 总后台-登录开始执行用例 ***************
[2021-07-01 14:04:51,795][test_admin_login.py 32][INFO]: *************** 总后台-登录结束执行用例 ***************
[2021-07-01 14:08:36,722][test_add_kecheng.py 21][INFO]: *************** 新增课件开始执行用例 ***************
[2021-07-01 14:08:36,903][test_add_kecheng.py 32][INFO]: *************** 新增课件结束执行用例 ***************
[2021-07-01 14:08:37,148][test_add_kecheng.py 38][INFO]: *************** 开始执行用例 ***************
[2021-07-01 14:08:37,423][test_add_kecheng.py 53][INFO]: *************** 下架课程结束执行用例 ***************
[2021-07-01 14:08:37,692][test_admin_login.py 21][INFO]: *************** 总后台-登录开始执行用例 ***************
[2021-07-01 14:08:37,826][test_admin_login.py 32][INFO]: *************** 总后台-登录结束执行用例 ***************
